id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1524516245185380352,1524516245185380352,2022-05-12 00:26:11 Střední Evropa (letní čas),2022-05-12,00:26:11,+0200,1385176729711374341,0xbotfather,NFT FLOOR PRICE UPDATES,,Featured Collection: @TheLoomSociety  Daily floor price update  Cryptopunks: 51.95Ξ (📉 -1.89%) Goons of Balatroon: 0.194Ξ (📉 -17.45%) Bored Ape YC: 100.0Ξ (📈 6.38%) Mutant Ape Yacht Club: 19.5Ξ (📈 2.63%) CLONE X  X TAKASHI MURAKAMI: 12.5Ξ (📉 -19.61%),und,"[{'screen_name': 'theloomsociety', 'name': 'theloomsociety', 'id': '1457607420318937095'}]",[],[],1,0,0,[],[],https://twitter.com/0xbotfather/status/1524516245185380352,False,,0,,,,,,,,[],,,,
1524453986233110529,1524453986233110529,2022-05-11 20:18:47 Střední Evropa (letní čas),2022-05-11,20:18:47,+0200,1435327395276328961,nftgobot,NFT Whale Alert｜NFT Analytics Platform 📊,,"🚨🚨🚨 NFT Big Trade  ➡️Transfer: [0xac1599] -&gt; [0x652495] ✨NFT: Bored Ape Yacht Club #1815  https://t.co/J2atDFOZsZ 💰Price: 92 WETH ($200,456.57) 🛢️Gas: 0.0359 ETH ($78.17)  #BAYC #boredapeyachtclub",de,[],['https://nftgo.io/asset/ETH/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1815'],[],0,0,0,"['bayc', 'boredapeyachtclub']",[],https://twitter.com/nftgobot/status/1524453986233110529,False,,0,,,,,,,,[],,,,
1524395630629638148,1524395630629638148,2022-05-11 16:26:54 Střední Evropa (letní čas),2022-05-11,16:26:54,+0200,1385176729711374341,0xbotfather,NFT FLOOR PRICE UPDATES,,Featured Collection: @TheLoomSociety  Daily floor price update  Cryptopunks: 52.95Ξ (📈 0.0%) Goons of Balatroon: 0.225Ξ (📉 -2.17%) Bored Ape YC: 94.0Ξ (📈 2.17%) Mutant Ape Yacht Club: 22.5Ξ (📈 18.42%) CLONE X  X TAKASHI MURAKAMI: 13.99Ξ (📉 -5.47%),und,"[{'screen_name': 'theloomsociety', 'name': 'theloomsociety', 'id': '1457607420318937095'}]",[],[],1,0,0,[],[],https://twitter.com/0xbotfather/status/1524395630629638148,False,,0,,,,,,,,[],,,,
1524373771091468288,1524373771091468288,2022-05-11 15:00:03 Střední Evropa (letní čas),2022-05-11,15:00:03,+0200,1424994036293586947,nftwhalealert,NFT Whale Alert,,P̳ast H̳our S̳tats S̳ales: GhostsProject: 24 Ragnarok Meta: 19 KIWAMI Genesis: 12 Cheers UP Period: 10 BEANZ Official: 10  V̳olume: Bored Ape Yacht Club: Ξ235.00 Moonbirds: Ξ126.17 Mutant Ape Yacht Club: Ξ73.87 Azuki: Ξ70.46 Doodles: Ξ58.39,und,[],[],[],1,1,10,[],[],https://twitter.com/nftwhalealert/status/1524373771091468288,False,,0,,,,,,,,[],,,,
1524343573461839873,1524343573461839873,2022-05-11 13:00:03 Střední Evropa (letní čas),2022-05-11,13:00:03,+0200,1455615278361026567,nycweb3,NYCWeb3.eth,,TOP 5 VOLUME  BoredApeYachtClub @BoredApeYC - 3247.17 ETH  CloneX @RTFKTstudios - 1312.49 ETH  Doodles @doodles - 847.94 ETH  PROOF Collective @proof_xyz - 243.9 ETH  BoredApeKennelClub @boredapeyc - 200.94 ETH,ht,"[{'screen_name': 'boredapeyc', 'name': 'bored ape yacht club', 'id': '1381699264011771906'}, {'screen_name': 'rtfktstudios', 'name': 'rtfktbackup', 'id': '1520865045684494336'}, {'screen_name': 'doodles', 'name': 'doodles', 'id': '1405701429646430212'}, {'screen_name': 'proof_xyz', 'name': 'proof (🥃,🦉)', 'id': '1420417970749149188'}, {'screen_name': 'boredapeyc', 'name': 'bored ape yacht club', 'id': '1381699264011771906'}]",[],[],0,0,0,[],[],https://twitter.com/NYCWeb3/status/1524343573461839873,False,,0,,,,,,,,[],,,,
1524252977023774720,1524252977023774720,2022-05-11 07:00:03 Střední Evropa (letní čas),2022-05-11,07:00:03,+0200,1424994036293586947,nftwhalealert,NFT Whale Alert,,P̳ast H̳our S̳tats S̳ales: Phazuki: 636 Cheers UP Period: 98 Tiny Wolf From NWP: 89 Ragnarok Meta: 79 Zunks: 56 Azuki: 49  V̳olume: Azuki: Ξ541.37 Otherdeed for Otherside: Ξ242.28 Bored Ape Yacht Club: Ξ99.80 Ragnarok Meta: Ξ92.57 BEANZ Official: Ξ51.17,sl,[],[],[],1,3,11,[],[],https://twitter.com/nftwhalealert/status/1524252977023774720,False,,0,,,,,,,,[],,,,
1524223011624263680,1524223011624263680,2022-05-11 05:00:59 Střední Evropa (letní čas),2022-05-11,05:00:59,+0200,1421595100577243138,ritzboo1,TheRitzboo,,"Sex is cool and all but have you seen Mayc  go from 40 eth to 17 eth, I have. Anyway follow for follow for my fellow apes. Let’s see your guys’s apes @BoredApeYC",en,"[{'screen_name': 'boredapeyc', 'name': 'bored ape yacht club', 'id': '1381699264011771906'}]",[],[],0,1,4,[],[],https://twitter.com/Ritzboo1/status/1524223011624263680,False,,0,,,,,,,,[],,,,
1524221529025822720,1524221529025822720,2022-05-11 04:55:05 Střední Evropa (letní čas),2022-05-11,04:55:05,+0200,1482537970355748865,placeofxyz,Placeof XYZ,,"Trending NFT Collections:  1) Azuki: 17,008.153Ξ 2) Otherdeed: 4,562.379Ξ 3) Beanz: 3,630.608Ξ 4) Bored Ape Yacht Club: 3,089.89Ξ 5) MutantApeYachtClub: 2,713.802Ξ",und,[],[],[],0,0,2,[],[],https://twitter.com/PlaceofXYZ/status/1524221529025822720,False,,0,,,,,,,,[],,,,
1524219011084566529,1524219011084566529,2022-05-11 04:45:05 Střední Evropa (letní čas),2022-05-11,04:45:05,+0200,1482537970355748865,placeofxyz,Placeof XYZ,,"Trending NFT Collections:  1) Azuki: 17,269.693Ξ 2) Otherdeed: 4,602.258Ξ 3) Beanz: 3,646.922Ξ 4) Bored Ape Yacht Club: 3,089.89Ξ 5) MutantApeYachtClub: 2,731.802Ξ",und,[],[],[],0,0,0,[],[],https://twitter.com/PlaceofXYZ/status/1524219011084566529,False,,0,,,,,,,,[],,,,
1524216494590238721,1524216494590238721,2022-05-11 04:35:05 Střední Evropa (letní čas),2022-05-11,04:35:05,+0200,1482537970355748865,placeofxyz,Placeof XYZ,,"Trending NFT Collections:  1) Azuki: 17,231.883Ξ 2) Otherdeed: 4,644.018Ξ 3) Beanz: 3,665.889Ξ 4) Bored Ape Yacht Club: 3,089.89Ξ 5) MutantApeYachtClub: 2,707.202Ξ",und,[],[],[],0,0,0,[],[],https://twitter.com/PlaceofXYZ/status/1524216494590238721,False,,0,,,,,,,,[],,,,
